flux0_1,flux0_2,flux0_3,flux2_1,flux2_2,flux2_3,id,x,y,z
0.010251225026656,0.046501455915449,0.37735796997946,0.00031509182998243,0.00018496634196892,-0.00029705638964248,141.91983967936,0,141.91983967936,0
0.013166302051219,0.052532485514237,0.37907329316425,0.00040431947995307,0.00023371507743962,-0.00039176331996036,144.07014028056,0,144.07014028056,0
0.016905736766282,0.059989041152643,0.37804968102416,0.00051794656165655,0.00029505502312509,-0.00051259708683887,146.22044088176,0,146.22044088176,0
0.021701683446355,0.069242193593109,0.37344933221567,0.00066100610562164,0.00037196101296548,-0.00066648119501479,148.37074148297,0,148.37074148297,0
0.027851762816241,0.080756980700249,0.36420676602819,0.00083593903191308,0.00046770087206367,-0.00086191442411184,150.52104208417,0,150.52104208417,0
0.035738244514408,0.095113581270555,0.34896898716217,0.0010332025722473,0.0005846272334796,-0.001108019248475,152.67134268537,0,152.67134268537,0
0.04585451950988,0.11302984789124,0.32602025724778,0.0012006244280763,0.00071759061006301,-0.0014048159679112,154.82164328657,0,154.82164328657,0
0.058845060063071,0.13537919297043,0.29318627035232,0.0011457559318587,0.00081614719889239,-0.0016685964161547,156.97194388778,0,156.97194388778,0
0.075713336579771,0.16337365612319,0.24725055914175,0.00015445800643249,0.0005000258155446,-0.0010543433800841,159.12224448898,0,159.12224448898,0
0.092310633374025,0.19145707150371,0.19849603443362,-0.0018362732877695,-0.00064707229748314,0.0014961581419341,161.27254509018,0,161.27254509018,0
0.10254945423961,0.2133016849382,0.16364688456528,-0.0021968569544348,-0.00090787381334711,0.0017881787505094,163.42284569138,0,163.42284569138,0
0.10898552354762,0.23122910722988,0.13768509550349,-0.0018928844840293,-0.00085632691137625,0.0014711572154536,165.57314629259,0,165.57314629259,0
0.11282537575112,0.24579929869924,0.11836014494265,-0.001446474906627,-0.00074052083669256,0.0011248767213648,167.72344689379,0,167.72344689379,0
0.1149052981777,0.25753886423467,0.10399725995287,-0.0010358380570396,-0.00062177910073866,0.00084324119278298,169.87374749499,0,169.87374749499,0
